Data,Conto,Operazione,Prodotto,Ticker,Nome Asset,TER,Valuta,Tasso di Conv.,QT. Scambio,Prezzo,Prezzo EUR,Imp. Nominale Operaz.,Commissioni,QT. Attuale,PMC,Imp. Residuo Asset,Imp. Effettivo Operaz.,Costo Rilasciato,Plusv. Lorda,Minusv. Generata,Scadenza,Zainetto Fiscale,Plusv. Imponibile,Imposta,P&L,Liquidita Attuale,Valore Titoli,NAV,Liq. Impegnata
30-05-2025,BG Saxo,Deposito,Contanti,,,,EUR,,,,,200.0,,,,,200.0,,,,,0.0,,,,200.0,0.0,200.0,200.0
30-05-2025,BG Saxo,Acquisto,Azioni,IONQ,"IonQ, Inc.",,USD,1.13001,4.0,-41.0,-36.2829,-145.13,0.88,4.0,36.5029,146.01,-146.01,,,,,0.0,,,,53.99,145.13,199.12,200.0
30-05-2025,BG Saxo,Deposito,Contanti,,,,EUR,,,,,100.0,,,,,100.0,,,,,0.0,,,,153.99,141.81,295.8,300.0
10-06-2025,BG Saxo,Acquisto,Azioni,QUBT,Quantum Computing Inc.,,USD,1.139306,9.0,-15.8779,-13.9365,-125.43,0.88,9.0,14.0342,126.31,-126.31,,,,,0.0,,,,27.68,264.52,292.2,300.0
16-06-2025,BG Saxo,Vendita,Azioni,QUBT,Quantum Computing Inc.,,USD,1.16183,-9.0,19.132,16.4671,148.21,0.86,0.0,0.0,0.0,147.35,126.31,21.04,,,0.0,21.04,5.47,15.57,169.56,133.01,302.57,300.0
17-06-2025,BG Saxo,Deposito,Contanti,,,,EUR,,,,,300.0,,,,,300.0,,,,,0.0,,,,469.56,131.72,601.28,600.0
17-06-2025,BG Saxo,Acquisto,Azioni,AVGO,Broadcom Inc.,,USD,1.151726,1.0,-252.59,-219.3143,-219.31,0.87,1.0,220.1843,220.18,-220.18,,,,,0.0,,,,249.38,351.04,600.42,600.0
17-06-2025,BG Saxo,Acquisto,Azioni,QBTS,D-Wave Quantum Inc.,,USD,1.151486,5.0,-15.83,-13.7475,-68.74,0.87,5.0,13.9215,69.61,-69.61,,,,,0.0,,,,179.77,415.47,595.24,600.0
17-06-2025,BG Saxo,Acquisto,Azioni,QUBT,Quantum Computing Inc.,,USD,1.151403,8.0,-20.2862,-17.6187,-140.95,0.87,8.0,17.7274,141.82,-141.82,,,,,0.0,,,,37.95,554.99,592.94,600.0
17-06-2025,BG Saxo,Acquisto,Azioni,IONQ,"IonQ, Inc.",,USD,1.150418,1.0,-37.9,-32.9445,-32.94,0.87,5.0,35.9652,179.83,-33.81,,,,,0.0,,,,4.14,584.09,588.23,600.0
