Date,ARM,IONQ,TSM,POET,AVGO,AMD,QUBT,AASI.MI,MWEQ.MI,QBTS,Liquidita,Liquidita Impegnata,Valore Titoli,NAV,Cash Flow,TWRR Giornaliero,TWRR Cumulativo
2025-03-04,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,425.83,425.83,0.0,0.0046,0.0046
2025-03-05,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,426.18,426.18,0.0,0.0008,0.0055
2025-03-06,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,401.61,401.61,0.0,-0.0576,-0.0525
2025-03-07,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,418.73,418.73,0.0,0.0426,-0.0121
2025-03-10,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,392.26,392.26,0.0,-0.0632,-0.0746
2025-03-11,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,384.25,384.25,0.0,-0.0204,-0.0935
2025-03-12,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,391.22,391.22,0.0,0.0181,-0.077
2025-03-13,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,386.1,386.1,0.0,-0.0131,-0.0891
2025-03-14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,403.31,403.31,0.0,0.0446,-0.0485
2025-03-17,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,415.32,415.32,0.0,0.0298,-0.0202
2025-03-18,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,408.88,408.88,0.0,-0.0155,-0.0354
2025-03-19,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,409.78,409.78,0.0,0.0022,-0.0332
2025-03-20,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,414.61,414.61,0.0,0.0118,-0.0218
2025-03-21,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,415.43,415.43,0.0,0.002,-0.0199
2025-03-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,440.58,440.58,0.0,0.0605,0.0394
2025-03-25,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,442.61,442.61,0.0,0.0046,0.0442
2025-03-26,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,417.37,417.37,0.0,-0.057,-0.0153
2025-03-27,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,407.97,407.97,0.0,-0.0225,-0.0375
2025-03-28,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,390.74,390.74,0.0,-0.0422,-0.0781
2025-03-31,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,387.34,387.34,0.0,-0.0087,-0.0862
2025-04-01,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,388.59,388.59,0.0,0.0032,-0.0832
2025-04-02,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,387.03,387.03,0.0,-0.004,-0.0869
2025-04-03,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,346.84,346.84,0.0,-0.1038,-0.1817
2025-04-07,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,315.65,315.65,0.0,-0.0899,-0.2553
2025-04-08,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,298.77,298.77,0.0,-0.0535,-0.2951
2025-04-09,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,371.49,371.49,0.0,0.2434,-0.1236
2025-04-10,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,336.05,336.05,0.0,-0.0954,-0.2072
2025-04-14,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,351.97,351.97,0.0,0.0474,-0.1696
2025-04-15,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,352.6,352.6,0.0,0.0018,-0.1681
2025-04-16,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,332.18,332.18,0.0,-0.0579,-0.2163
2025-04-17,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,330.32,330.32,0.0,-0.0056,-0.2207
2025-04-21,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,425.68,316.85,316.85,0.0,-0.0408,-0.2525
