Data,Operazione,SIM,Prodotto,Ticker,Asset Name,TER,Valuta,QT. Scambio,Prezzo,Prezzo EUR,Imp. Nominale Operaz.,Commissioni,QT. Attuale Asset,PMPC Asset,Imp. Residuo Asset,Imp. Effettivo Operaz.,Costo Rilasciato,Plusv. Lorda,Minusv. Generata,Scadenza,Zainetto Fiscale,Plusv. Imponibile,Imposta,Netto,Liquidita Attuale,Valore Titoli,NAV,Liq. Storica Immessa
30-05-2025,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
30-05-2025,deposit,BG Saxo,,,,,EUR,,,,200.0,,,,,200.0,,,,,0.0,,,,200.0,0.0,200.0,200.0
30-05-2025,buy,BG Saxo,Stock,IONQ,"IonQ, Inc.",,USD,+4,-41.0,-36.2829,-145.131472,0.882736,4.0,36.503552,146.014208,-146.014208,,,,,0.0,,,,53.985792000000004,145.131472,199.117264,200.0
10-06-2025,deposit,BG Saxo,,,,,EUR,,,,100.0,,,,,100.0,,,,,0.0,,,,153.985792,138.98191307006834,292.96770507006835,300.0
10-06-2025,buy,BG Saxo,Stock,QUBT,Quantum Computing Inc.,,USD,+9,-15.8779,-13.9365,-125.42815379970001,0.875533,9.0,14.033742977744446,126.30368679970002,-126.30368679970002,,,,,0.0,,,,27.682105200299986,264.41006686976834,292.09217207006833,300.0
16-06-2025,sell,BG Saxo,Stock,QUBT,Quantum Computing Inc.,,USD,-9,19.132,16.4671,148.204105668,0.858559,0.0,0.0,0.0,147.345546668,126.30368679970002,21.04185986829998,,,0.0,21.04185986829998,5.470883565757995,15.570976302541986,169.556768302542,133.04681313653563,302.60358143907763,300.0
17-06-2025,deposit,BG Saxo,,,,,EUR,,,,300.0,,,,,300.0,,,,,0.0,,,,469.55676830254197,132.5172123093567,602.0739806118986,600.0
17-06-2025,buy,BG Saxo,Stock,QUBT,Quantum Computing Inc.,,USD,+8,-20.2862,-17.6187,-140.9494913376,0.866335,8.0,17.7269782922,141.8158263376,-141.8158263376,,,,,0.0,,,,327.74094196494195,273.4667036469567,601.2076456118987,600.0
17-06-2025,buy,BG Saxo,Stock,QBTS,D-Wave Quantum Inc.,,USD,+5,-15.83,-13.7475,-68.73726345,0.866272,5.0,13.920707089999999,69.60353545,-69.60353545,,,,,0.0,,,,258.137406514942,339.1364783780701,597.2738848930121,600.0
17-06-2025,buy,BG Saxo,Stock,AVGO,Broadcom Inc.,,USD,+1,-252.59,-219.3143,-219.31429857999998,0.866091,1.0,220.18038958,220.18038958,-220.18038958,,,,,0.0,,,,37.957016934941976,557.4265335886317,595.3835505235737,600.0
17-06-2025,buy,BG Saxo,Stock,IONQ,"IonQ, Inc.",,USD,+1,-37.9,-32.9445,-32.9445371,0.867076,5.0,35.96516422,179.82582109999998,-33.811613099999995,,,,,0.0,,,,4.14540383494198,586.6152144438277,590.7606182787696,600.0
